"AssetNo","AssetName","CF_VIN","DateOnly","MeterTitleName","MeterTitleNo","ValueRead","Source"
"003","1996 FREIGHTLINER","1FV6HLAA8TL837405","6/6/2018","Odometer","b15",216959.33962462906,"Odometer"
"004","1997 FREIGHTLINER","1FUWDZYB7VL683533","6/6/2018","Odometer","b1D",125827.7136042106,"Odometer"
"005","1998 FREIGHTLINER","1FV3EFFC3WH920187","6/6/2018","Odometer","b8",12341.019624562452,"Odometer"
"006","1998 PETERBILT","1XPGD99X7WD450669","6/6/2018","Odometer","b17",743581.1321525582,"Odometer"
"007","2000 FREIGHTLINER","1FUWJJBA0YHB95450","6/6/2018","Odometer","b14",126193.10471995427,"Odometer"
"008","2010 INTERNATIONAL","1HSHXAHR2AJ170774","6/6/2018","Odometer","b13",325214.09580555395,"Odometer"
"009","2007 INTERNATIONAL","1HTWCAAN67J630095","6/6/2018","Odometer","bC",293639.5418378557,"Odometer"
"010","2008 GMC","1GTEC14C58Z221771","6/6/2018","Odometer","b9",145641.12701229542,"Odometer"
"011","2008 GMC","1GTEC14C88Z221571","6/6/2018","Odometer","bD",138897.105848483,"Odometer"
"012","2010 TOYOTA","5TELU4EN8AZ703697","6/6/2018","Odometer","b1E",109142.85719909372,"Odometer"
"017","2009 INTERNATIONAL","2HSCUAPR39C099261","6/6/2018","Odometer","b4",311128.0762899368,"Odometer"
"201","2015 DODGE","3C7WRNBL4FG635654","6/6/2018","Odometer","b12",82788.71885010938,"Odometer"
"202","2015 DODGE","3C63R3GL0FG535040","6/6/2018","Odometer","bF",103149.45588798594,"Odometer"
"203","2015 DODGE","3C7WRNBL1FG659829","6/6/2018","Odometer","b16",74777.3471389802,"Odometer"
"204","2016 DODGE","3C7WRNBL0GG100399","6/6/2018","Odometer","b19",86574.36567121971,"Odometer"
"205","2017 DODGE","3C7WRNBL8HG579950","6/6/2018","Odometer","b2",35916.21678020521,"Odometer"
"206","2017 DODGE","3C7WRNBL5HG625556","6/6/2018","Odometer","b18",24829.37829621111,"Odometer"
"207","2017 DODGE","3C7WRNBL0HG674731","6/6/2018","Odometer","b1",22649.934995922104,"Odometer"
"208","2015 DODGE","3C7WRMCL7FG602172","6/6/2018","Odometer","b11",85156.08716822209,"Odometer"
"209","2016 DODGE","3C7WRNBLXGG375746","6/6/2018","Odometer","bA",26555.166567046417,"Odometer"
"210","2016 PETERBILT","2NP2HM6XXGM328982","6/6/2018","Odometer","b5",21280390.39199981,"Engine Hours"
"211","2016 PETERBILT","2NP2HM6X2GM344075","6/6/2018","Odometer","b7",15520841.39600018,"Engine Hours"
"212","2017 FORD","1FDUF5HT8HEE58651","6/6/2018","Odometer","b20",6826.881633636792,"Odometer"
"301","2014 DODGE","1C6RR7GT0ES323277","6/6/2018","Odometer","b1B",88278.2201603486,"Odometer"
"303","2015 DODGE","1C6RR7FT1FS743844","6/6/2018","Odometer","bB",46009.25219947909,"Odometer"
"304","2017 GMC","1GT42VCYXHF120911","6/6/2018","Odometer","b1C",45621.10957754033,"Odometer"
